web-scraper-order,web-scraper-start-url,Ngày tổ chức sự kiện,Tên sự kiện,Đơn vị tổ chức sự kiện
"1642574400-1069","https://www.facebook.com/DaiSu.TDVT/events","THỨ 7, 28 THÁNG 11, 2020","Người trong cuộc nói về Competitive Programming","BigO Coding - Học thuật toán với chuyên gia"
"1642574400-1070","https://www.facebook.com/DaiSu.TDVT/events","THỨ 7, 25 THÁNG 4, 2020","Webinar #04: How To Prepare & Succeed In A Coding Interview","Grokking Vietnam"
"1642574400-1071","https://www.facebook.com/DaiSu.TDVT/events","THỨ 2, 20 THÁNG 5, 2019","AI is NOW! (Da Nang)","Kambria Việt Nam"
"1642574400-1073","https://www.facebook.com/DaiSu.TDVT/events","THỨ 6, 3 THÁNG 9, 2016","PvPenny: Tornado Edition (Wind)","Battle Camp"
"1642574400-1066","https://www.facebook.com/DaiSu.TDVT/events","THỨ 7, 24 THÁNG 4, 2021","Lễ hội giao lưu văn hóa Việt Nhật và Ngày hội việc làm Nhật Bản 2021 tại Đại học Đông Á","Đại học Đông Á"
"1642574400-1065","https://www.facebook.com/DaiSu.TDVT/events","CN, 4 THÁNG 7, 2021","Livestream 11: Trò chuyện cùng Kiên - founder Free Contest","Code cùng RR"
"1642574400-1074","https://www.facebook.com/DaiSu.TDVT/events","THỨ 7, 26 THÁNG 12, 2015","SOIREE DE NOEL AEViVal","AEViVal - Association des Etudiants Vietnamiens du Val de Loire"
"1642574400-1068","https://www.facebook.com/DaiSu.TDVT/events","CN, 20 THÁNG 12, 2020","Giới thiệu cuộc thi Machine Learning Showcase 2020","TensorFlow Việt Nam"
"1642574400-1062","https://www.facebook.com/DaiSu.TDVT/events","THỨ 7, 24 THÁNG 7, 2021","Livestream #14 - Code đấu: MofK vs ngfam","Code cùng RR"
"1642574400-1072","https://www.facebook.com/DaiSu.TDVT/events","THỨ 7, 7 THÁNG 10, 2017","Tournoi League of Legends - INSA CVL 2017","Gam'INSA"
"1642574400-1067","https://www.facebook.com/DaiSu.TDVT/events","THỨ 6, 26 THÁNG 2, 2021","Sinh nhật Vinh Huỳnh","Nam Do San"
"1642574400-1064","https://www.facebook.com/DaiSu.TDVT/events","THỨ 7, 10 THÁNG 7, 2021","Livestream #12 - Quy hoạch động","Code cùng RR"
"1642574400-1063","https://www.facebook.com/DaiSu.TDVT/events","THỨ 5, 15 THÁNG 7, 2021","Seminar Series ""Clean Code"": Functions and Comments","Chuyện ở Haposoft"
